Holiday,Temperature,Rainfall_last_hour,Snowfall_last_hour,Cloud_Cover,Weather,Weather_Desc,TimeStamp,Date,Traffic_Vol
0.0,288.086,0.0,0.0,92,Rainfall,Soft rain,11-06-2018 20:00,2018-06-11,4172.22
0.0,298.043,0.0,0.0,0,Clear skies,Clear skies,12-06-2018 18:00,2018-06-12,6123.52
0.0,292.961,0.0,0.0,8,Clear skies,Clear skies,12-06-2018 20:00,2018-06-12,4450.42
0.0,292.361,0.0,0.0,9,Clear skies,Clear skies,12-06-2018 21:00,2018-06-12,4707.82
0.0,295.34,0.0,0.0,76,Cloudy skies,Fragmented clouds,13-06-2018 21:00,2018-06-13,4380.22
0.0,293.437,0.0,0.0,56,Cloudy skies,Fragmented clouds,13-06-2018 23:00,2018-06-13,3090.62
0.0,296.164,0.0,0.0,89,Rainfall,Soft rain,14-06-2018 20:00,2018-06-14,4200.82
0.0,300.007,0.0,0.0,0,Clear skies,Clear skies,19-06-2018 18:00,2018-06-19,6505.72
0.0,296.269,0.0,0.0,88,Rainfall,Soft rain,20-06-2018 18:00,2018-06-20,5681.52
0.0,294.514,0.0,0.0,12,Cloudy skies,Scattered clouds,22-06-2018 00:00,2018-06-22,1387.62
0.0,295.944,0.0,0.0,12,Cloudy skies,Scattered clouds,22-06-2018 18:00,2018-06-22,6170.32
0.0,287.841,0.0,0.0,0,Clear skies,Clear skies,24-06-2018 04:00,2018-06-24,1629.42
0.0,290.325,0.0,0.0,0,Clear skies,Clear skies,24-06-2018 06:00,2018-06-24,8011.12
0.0,290.725,0.0,0.0,0,Clear skies,Clear skies,24-06-2018 07:00,2018-06-24,7452.12
0.0,290.625,0.0,0.0,0,Clear skies,Clear skies,24-06-2018 08:00,2018-06-24,7045.22
0.0,298.003,0.0,0.0,36,Cloudy skies,Partly cloudy skies,24-06-2018 10:00,2018-06-24,6570.72
0.0,300.782,0.0,0.0,24,Cloudy skies,Scattered clouds,24-06-2018 11:00,2018-06-24,6860.62
0.0,300.782,0.0,0.0,24,Cloudy skies,Scattered clouds,24-06-2018 13:00,2018-06-24,6928.22
0.0,301.521,0.0,0.0,12,Cloudy skies,Scattered clouds,24-06-2018 14:00,2018-06-24,7245.42
