Holiday,Temperature,Rainfall_last_hour,Snowfall_last_hour,Cloud_Cover,Weather,Weather_Desc,TimeStamp,Date,Traffic_Vol
0.0,289.28,0.0,0.0,40,Cloudy skies,Partly cloudy skies,02-10-2015 9:00,2015-10-02,7639.32
0.0,290.26,0.0,0.0,75,Cloudy skies,Fragmented clouds,02-10-2015 10:00,2015-10-02,6300.32
0.0,290.28,0.0,0.0,90,Cloudy skies,Full cloud cover,02-10-2015 11:00,2015-10-02,6621.42
0.0,290.33,0.0,0.0,90,Cloudy skies,Full cloud cover,02-10-2015 12:00,2015-10-02,6958.12
0.0,292.14,0.0,0.0,75,Cloudy skies,Fragmented clouds,02-10-2015 13:00,2015-10-02,6824.22
0.0,292.72,0.0,0.0,1,Clear skies,Clear skies,02-10-2015 14:00,2015-10-02,7164.82
0.0,293.37,0.0,0.0,1,Clear skies,Clear skies,02-10-2015 15:00,2015-10-02,7680.92
0.0,294.16,0.0,0.0,1,Clear skies,Clear skies,02-10-2015 16:00,2015-10-02,8250.32
0.0,294.84,0.0,0.0,20,Cloudy skies,Scattered clouds,02-10-2015 17:00,2015-10-02,7952.62
0.0,293.7,0.0,0.0,20,Cloudy skies,Scattered clouds,02-10-2015 18:00,2015-10-02,6622.72
0.0,291.67,0.0,0.0,21,Cloudy skies,Scattered clouds,02-10-2015 19:00,2015-10-02,5026.32
0.0,289.98,0.0,0.0,2,Clear skies,Clear skies,02-10-2015 20:00,2015-10-02,4044.82
0.0,289.51,0.0,0.0,2,Clear skies,Clear skies,02-10-2015 21:00,2015-10-02,3493.62
0.0,287.56,0.0,0.0,2,Clear skies,Clear skies,02-10-2015 22:00,2015-10-02,2413.32
0.0,286.05,0.0,0.0,1,Clear skies,Clear skies,02-10-2015 23:00,2015-10-02,1681.42
0.0,284.73,0.0,0.0,1,Clear skies,Clear skies,03-10-2015 0:00,2015-10-03,1076.92
0.0,284.17,0.0,0.0,1,Clear skies,Clear skies,03-10-2015 1:00,2015-10-03,836.42
0.0,282.08,0.0,0.0,1,Clear skies,Clear skies,03-10-2015 2:00,2015-10-03,781.82
0.0,281.99,0.0,0.0,2,Clear skies,Clear skies,03-10-2015 3:00,2015-10-03,901.42
0.0,279.73,0.0,0.0,1,Clear skies,Clear skies,03-10-2015 4:00,2015-10-03,1479.92
0.0,279.52,0.0,0.0,1,Clear skies,Clear skies,03-10-2015 5:00,2015-10-03,3953.82
0.0,279.03,0.0,0.0,2,Clear skies,Clear skies,03-10-2015 6:00,2015-10-03,7804.42
0.0,278.62,0.0,0.0,1,Clear skies,Clear skies,03-10-2015 8:00,2015-10-03,8886.02
0.0,282.68,0.0,0.0,2,Clear skies,Clear skies,03-10-2015 9:00,2015-10-03,7535.32
0.0,292.17,0.0,0.0,1,Clear skies,Clear skies,03-10-2015 12:00,2015-10-03,7056.92
0.0,293.43,0.0,0.0,1,Clear skies,Clear skies,03-10-2015 13:00,2015-10-03,6774.82
0.0,294.81,0.0,0.0,1,Clear skies,Clear skies,03-10-2015 14:00,2015-10-03,7363.72
0.0,295.57,0.0,0.0,1,Clear skies,Clear skies,03-10-2015 15:00,2015-10-03,7818.72
